Population_Members,Peak_Flow (CFS),Total_Runoff_Volume (1000*CF),Total_Costs $,Social_Context_Score,MultiObjectiveRating,,
childER8PWDUgen15,351.5765,3806.3025,24546486.54,1676.729407,3.148706974,,
childJPFQL2Ogen19,357.948,3809.5668,24571888.97,1676.979199,3.16965689,,
childLL9UU12gen14,351.088,3825.5994,24988237.59,1677.063586,3.152455417,,
childBPY3ACNgen15,354.344,3803.0157,24809807.88,1677.319979,3.156544164,,
childBV7SBR2gen12,355.05,3830.8815,24753425.3,1677.395397,3.166379091,,
childG31I9PNgen10,350.5175,3800.6172,24754836.93,1677.809745,3.143872344,,
childT4LVQ4Mgen12,350.2405,3808.8459,24940411.5,1677.879759,3.145251298,,
child9D5DSDNgen11,352.0305,3735.7227,24976415.53,1677.978029,3.130917911,,
childW5CEDMPgen13,352.6645,3803.9499,24886061.03,1678.050182,3.15154881,,
childCQ51BWKgen13,351.8015,3811.2048,24817210.01,1678.50559,3.150835901,,
childMTSZLSMgen12,352.0655,3817.3194,24763957.77,1678.555569,3.153338738,,
childAISCVQWgen14,349.9645,3792.3642,24954525.2,1678.747151,3.139921909,,
childLPI7EH0gen10,347.575,3830.9859,24954566.39,1679.025335,3.142964161,,
childQSTQ1YFgen16,354.1815,3823.4493,24631869.42,1679.08922,3.161695148,,
child1JASKWJgen9,351.6055,3802.6413,24860278.05,1679.161002,3.147910863,,
childC06TLE2gen14,351.184,3798.2619,24894224.25,1679.322152,3.145396129,,
childC5PTQPHgen11,347.935,3803.5161,24954080.26,1680.45054,3.136660813,,
child8P3V6YYgen11,348.96,3796.6023,24782398.28,1680.511939,3.138000497,,
childEB1Z21Vgen12,349.873,3784.3515,24960852.83,1681.079599,3.137553687,,
childG9Q6A5Xgen14,351.451,3788.4096,24881338.19,1681.798812,3.143660148,,
childMJ6VQQ3gen12,351.9295,3797.3745,24628654.49,1682.043323,3.147625289,,
childJ6W1J8Ygen16,353.4965,3819.4578,24711507.91,1682.337156,3.158600122,,
child61EZCRHgen9,351.0065,3807.1674,24992927.26,1682.616008,3.147422152,,
child9RYQ5ZGgen10,351.514,3812.0103,24852001.74,1682.710475,3.15034588,,
childEWMARBZgen13,352.3955,3819.0384,24971487.95,1682.748924,3.155040522,,
childHPR43CIgen14,356.7145,3791.8026,24595448.8,1683.189442,3.16121186,,
childIQDSSM7gen10,349.6095,3757.9275,24953046.77,1683.368405,3.129614166,,
child3O70OBSgen14,354.205,3786.633,24946674.68,1683.931881,3.151938672,,
childIGU2VXPgen10,350.8295,3782.358,24963223.5,1684.191167,3.140162713,,
child6P4TJC8gen12,350.024,3786.6204,24939750.44,1684.216669,3.138793577,,
childCMRPWYKgen15,354.7655,3809.4282,24783040.34,1684.43264,3.159950712,,
childQ65CD2Sgen12,351.0605,3799.0368,24955187.44,1685.066052,3.145484964,,
childT2PFP00gen16,354.3585,3809.5794,24815096.91,1685.6755,3.158768955,,
childPNXTKGFgen12,351.589,3802.2633,24721147.92,1686.202684,3.148081552,,
childXZBFEHLgen15,352.1235,3804.3144,24865235.41,1686.694884,3.150346197,,
child80TMC0Jgen15,349.476,3808.1385,24994582.81,1686.863724,3.143068443,,
childUW76CDPgen12,352.282,3810.1923,24667979.34,1686.978732,3.152463274,,
child488NMC7gen13,351.751,3821.2668,24808756.42,1687.009877,3.153818446,,
child3GOEMQMgen13,352.221,3831.6771,24961380.45,1687.068633,3.158142986,,
childQOFWYLYgen17,355.9135,3815.8911,24311924.85,1687.546164,3.165471787,,
childHX4WSKIgen11,351.3925,3784.1985,24991909.47,1687.97979,3.142612048,,
childY95HLQRgen14,352.486,3820.0059,24790591.6,1688.135494,3.155838738,,
childETYS17Vgen11,349.761,3818.1672,24981989.7,1688.626944,3.146785565,,
childGY99DFVgen11,350.399,3797.6112,24986807.59,1688.72466,3.143183625,,
childFFUTNL6gen13,351.367,3784.4307,24771491.89,1688.892062,3.142637443,,
childL8QY7FBgen15,353.8765,3818.7675,24473149.99,1689.066459,3.15991859,,
